id,Oficio,Niveles,Recetas,Recursos,Cantidad
70,Sastre,92,Capa Fuegodala x4,Pelo de wobot hambriento ,12
71,Sastre,92,Capa Fuegodala x4,Bordado de Malefíscof ,8
72,Sastre,96,Casco de Dragocerdo x5,Marfil ,25
73,Sastre,96,Casco de Dragocerdo x5,Cuero de cerdo serrano ,70
74,Sastre,96,Casco de Dragocerdo x5,Piel de cerdo de Farle ,70
75,Sastre,96,Casco de Dragocerdo x5,Pelo de Dragocerdo ,5
76,Sastre,96,Casco de Dragocerdo x5,Glóbulo de Lasoberaña ,5
77,Sastre,96,Casco de Dragocerdo x5,Concentrado de bosquecillo ,5
78,Sastre,100,Mazorrasombrero x6,Kola ,30
79,Sastre,100,Mazorrasombrero x6,Hoja de mazorral ,78
80,Sastre,100,Mazorrasombrero x6,Diente de Karnozor ,18
81,Sastre,100,Mazorrasombrero x6,Pluma de dodoncella ,24
82,Sastre,100,Mazorrasombrero x6,Piel de Moon x24Turmalina ,18
83,Sastre,105,Capa de la Rata Negra x1,Oreja de rataplastada ,16
84,Sastre,105,Capa de la Rata Negra x1,Rata oxidada Pipa Woody ,14
85,Sastre,105,Capa de la Rata Negra x1,Pelo de rata brakmariana ,6
86,Sastre,105,Capa de la Rata Negra x1,Turmalina ,3
87,Sastre,105,Capa de la Rata Negra x1,Plumón del Maestro Cuerbok ,3
88,Sastre,105,Capa de la Rata Negra x1,Concentrado de bosquecillo ,2
89,Sastre,105,Capa de la Rata Negra x1,Crines de Rata Negra ,1
90,Sastre,106,Sombrero de Gaddi x5,Oreja de buldogro ,25
91,Sastre,106,Sombrero de Gaddi x5,Concentrado de bosquecillo ,10
92,Sastre,106,Sombrero de Gaddi x5,Yema de Abráknido Ancestral ,5
93,Sastre,106,Sombrero de Gaddi x5,Oreja de rinoferoz ,85
94,Sastre,106,Sombrero de Gaddi x5,Calcetín agujereado de Dramak ,15
95,Sastre,106,Sombrero de Gaddi x5,Piel de minoskito ,80
96,Sastre,106,Sombrero de Gaddi x5,Pelo de rata bontariana ,30
97,Sastre,110,Sombrero de Bimd'Ulo x3,Néctar del oriente ,18
98,Sastre,110,Sombrero de Bimd'Ulo x3,Trenza de Trankitronko ,9
99,Sastre,110,Sombrero de Bimd'Ulo x3,Pelos de barba de warko violeta ,6
100,Sastre,110,Sombrero de Bimd'Ulo x3,Cofia destrozada de drakoalak ,9
101,Sastre,110,Sombrero de Bimd'Ulo x3,Pelo de zorrowapo ,48
102,Sastre,110,Sombrero de Bimd'Ulo x3,Turmalina ,9
103,Sastre,110,Sombrero de Bimd'Ulo x3,Bordado de Malefíscof ,9
104,Sastre,113,Falena x5,Ala de moskito ,385
105,Sastre,113,Falena x5,Pluma de Tofu Real ,5
106,Sastre,113,Falena x5,Concentrado de espesura ,5
107,Sastre,113,Falena x5,Kuakuá Baño Nagate ,15
108,Sastre,113,Falena x5,Tela de siegalak ,20
109,Sastre,113,Falena x5,Néctar del oriente ,5
110,Sastre,113,Falena x5,Piel de minoskito ,90
111,Sastre,117,Cabellera de Piojoporojo x6,Pelleja de garrapocha ,114
112,Sastre,117,Cabellera de Piojoporojo x6,Púa de pulgrosa ,24
113,Sastre,117,Cabellera de Piojoporojo x6,Glándula de Piojoporojo ,24
114,Sastre,117,Cabellera de Piojoporojo x6,Plumón del Maestro Cuerbok ,24
115,Sastre,117,Cabellera de Piojoporojo x6,Galleta de la fortuna ,30
116,Sastre,117,Cabellera de Piojoporojo x6,Turmalina ,18
117,Sastre,117,Cabellera de Piojoporojo x6,Trama dimensional ,18
118,Sastre,122,Holuna x6,Trama dimensional ,18
119,Sastre,122,Holuna x6,Cuero de jabajocero ,114
120,Sastre,122,Holuna x6,Kriptonita ,12
121,Sastre,122,Holuna x6,Pluma de cuerbok domesticado ,120
122,Sastre,122,Holuna x6,Bractea de la marguerrita ,126
123,Sastre,122,Holuna x6,Sépalo de nierba ,192
124,Sastre,122,Holuna x6,Melena de Trollaraj ,132
125,Sastre,122,Holuna x6,Calzoncillo de trooloko ,6
126,Sastre,127,Casco de la ardilla de las nieves x1,Kuakuá Baño Nagate ,2
127,Sastre,127,Casco de la ardilla de las nieves x1,Pluma de Morsagüino Real ,4
128,Sastre,127,Casco de la ardilla de las nieves x1,Huevo de Morsagüino Real ,1
129,Sastre,127,Casco de la ardilla de las nieves x1,Cola de la Ardilla de las nieves ,28
130,Sastre,127,Casco de la ardilla de las nieves x1,Bellota de ardilla de las nieves ,5
131,Sastre,127,Casco de la ardilla de las nieves x1,Ojo torvo de frigóquero ,4
132,Sastre,127,Casco de la ardilla de las nieves x1,Turmalina ,3
133,Sastre,127,Casco de la ardilla de las nieves x1,Pluma de Rasgabola Mayor ,3
134,Sastre,128,Gorro de discípulo zoth x4,Rótula de discípulo zoth ,24
135,Sastre,128,Gorro de discípulo zoth x4,Ahumador zoth ,104
136,Sastre,128,Gorro de discípulo zoth x4,Tejido zoth ,28
137,Sastre,128,Gorro de discípulo zoth x4,Kristalita ,8
138,Sastre,128,Gorro de discípulo zoth x4,Pluma de Rasgabola Mayor ,8
139,Sastre,128,Gorro de discípulo zoth x4,Pistilo de Tynril ,12
140,Sastre,128,Gorro de discípulo zoth x4,Concentrado de espesura ,8
141,Sastre,128,Gorro de discípulo zoth x4,Huevo de Thor Pestruz ,4
142,Sastre,131,Capa Aritxosa x11,Cola de Jalamut Real ,11
143,Sastre,131,Capa Aritxosa x11,Turmalina ,33
144,Sastre,131,Capa Aritxosa x11,Clavícula de jalamut ,55
145,Sastre,131,Capa Aritxosa x11,Ojo de jalamut de guerra ,44
146,Sastre,131,Capa Aritxosa x11,Lana de Jalamut Real ,44
147,Sastre,131,Capa Aritxosa x11,Plumón del Maestro Cuerbok ,33
148,Sastre,131,Capa Aritxosa x11,Piel de Cocabulia ,11
149,Sastre,131,Capa Aritxosa x11,Lana de jalamut ,385
150,Sastre,139,Capa de Maxilubo x2,Cabellera de Maxilubo ,4
151,Sastre,139,Capa de Maxilubo x2,Testículos del Tanukui San ,2
152,Sastre,139,Capa de Maxilubo x2,Ámbar de Roble Blando ,2
153,Sastre,139,Capa de Maxilubo x2,Dientes de milubo ,14
154,Sastre,139,Capa de Maxilubo x2,Cola de milubo ,52
155,Sastre,139,Capa de Maxilubo x2,Testículos de cerdolubo ,12
156,Sastre,139,Capa de Maxilubo x2,Trama dimensional ,6
157,Sastre,139,Capa de Maxilubo x2,Concentrado de bosque ,2
158,Sastre,141,Casco de Maxilubo x1,Cabellera de Maxilubo ,4
159,Sastre,141,Casco de Maxilubo x1,Pincho de El Piko ,3
160,Sastre,141,Casco de Maxilubo x1,Testículos del Tanukui San ,1
161,Sastre,141,Casco de Maxilubo x1,Dientes de milubo ,8
162,Sastre,141,Casco de Maxilubo x1,Ojo de cerdolubo ,34
163,Sastre,141,Casco de Maxilubo x1,Canino de abuelubo ,31
164,Sastre,141,Casco de Maxilubo x1,Trama dimensional ,6
165,Sastre,141,Casco de Maxilubo x1,Concentrado de bosque ,2
166,Sastre,142,Capa gastada de Roble Blando x5,Raíz de Roble Blando ,10
167,Sastre,142,Capa gastada de Roble Blando x5,Piel de Skonk ,5
168,Sastre,142,Capa gastada de Roble Blando x5,Kuakuá Baño Nagate ,10
169,Sastre,142,Capa gastada de Roble Blando x5,Ámbar de abráknido oscuro irascible ,10
170,Sastre,142,Capa gastada de Roble Blando x5,Hoja de rama curadora ,35
171,Sastre,142,Capa gastada de Roble Blando x5,Pata de abrakno irascible ,35
172,Sastre,142,Capa gastada de Roble Blando x5,Concentrado de bosque ,10
173,Sastre,142,Capa gastada de Roble Blando x5,Turmalina ,30
174,Sastre,146,Capa de papatroz x2,Trama dimensional ,12
175,Sastre,146,Capa de papatroz x2,Concentrado de bosque ,4
176,Sastre,146,Capa de papatroz x2,Colmillo de Perfósil ,8
177,Sastre,146,Capa de papatroz x2,Pluma de Morsagüino Real ,8
178,Sastre,146,Capa de papatroz x2,Kamatrix ,20
179,Sastre,146,Capa de papatroz x2,Cuerno de papatroz ,52
180,Sastre,146,Capa de papatroz x2,Ojo de perfidotroz ,66
181,Sastre,146,Capa de papatroz x2,Cola mágica de Funoroshi ,4
182,Sastre,148,Capa Itanflam x4,Bufanda de Hanshi ,18
183,Sastre,148,Capa Itanflam x4,Pezuña de balisisco ,28
184,Sastre,148,Capa Itanflam x4,Cuerno de balíbido ,24
185,Sastre,148,Capa Itanflam x4,Estómago de emobalí ,28
186,Sastre,148,Capa Itanflam x4,Ámbar de Roble Blando ,4
187,Sastre,148,Capa Itanflam x4,Mecha rebelde de Hell Mina ,8
188,Sastre,148,Capa Itanflam x4,Concentrado de bosque ,8
189,Sastre,148,Capa Itanflam x4,Trama dimensional ,24
190,Sastre,151,Simbreria x1,Trasero de tufo aéreo ,41
191,Sastre,151,Simbreria x1,Relleno de mopet ,48
192,Sastre,151,Simbreria x1,Etmoides de Minotot ,2
193,Sastre,151,Simbreria x1,Calcetín del Kimbo ,1
194,Sastre,151,Simbreria x1,Concentrado de bosque primario ,1
195,Sastre,151,Simbreria x1,Esfenoides del Kimbo ,3
196,Sastre,151,Simbreria x1,Guijarro solar ,1
197,Sastre,151,Simbreria x1,Tejido de rey stropajo ,1
198,Sastre,152,Blopisetombrero x2,Hoja de blop real ,12
199,Sastre,152,Blopisetombrero x2,Hoja de Blop Multicolor Real ,8
200,Sastre,152,Blopisetombrero x2,Trama dimensional ,12
201,Sastre,152,Blopisetombrero x2,Concentrado de bosque primario ,2
202,Sastre,152,Blopisetombrero x2,Flor de bloponcio ,40
203,Sastre,152,Blopisetombrero x2,Huevo de Thor Pestruz ,2
204,Sastre,152,Blopisetombrero x2,Blop muerto ,40
205,Sastre,152,Blopisetombrero x2,Flor de blopiseta ,40
206,Sastre,154,Casco de tufo aéreo x4,Coco de tufo de las llanuras ,52
207,Sastre,154,Casco de tufo aéreo x4,Ala de tufo de las llanuras ,204
208,Sastre,154,Casco de tufo aéreo x4,Amígdalas de tufo oscuro ,204
209,Sastre,154,Casco de tufo aéreo x4,Coco de tufo aéreo ,52
210,Sastre,154,Casco de tufo aéreo x4,Coco de tufo oscuro ,52
211,Sastre,154,Casco de tufo aéreo x4,Trasero de tufo aéreo ,204
212,Sastre,154,Casco de tufo aéreo x4,Calcetín del Kimbo ,4
213,Sastre,154,Casco de tufo aéreo x4,Ámbar de Tynril ,4
214,Sastre,158,Mácara bodú bortam x4,Calcetín del Kimbo ,4
215,Sastre,158,Mácara bodú bortam x4,Pistilo de Tynril ,12
216,Sastre,158,Mácara bodú bortam x4,Colmillo de Perfósil ,12
217,Sastre,158,Mácara bodú bortam x4,Ojo de perfidotroz ,128
218,Sastre,158,Mácara bodú bortam x4,Piel de metaforatroz ,116
219,Sastre,158,Mácara bodú bortam x4,Kamatrix ,40
220,Sastre,158,Mácara bodú bortam x4,Máscara kaníbola ,4
221,Sastre,158,Mácara bodú bortam x4,Muñeca bodú bortam ,140
222,Sastre,161,Bloprona Real x11,Hoja de Blop Multicolor Real ,44
223,Sastre,161,Bloprona Real x11,Guijarro solar ,22
224,Sastre,161,Bloprona Real x11,Hoja de blop real ,132
225,Sastre,161,Bloprona Real x11,Flor de Blop Multicolor Real ,11
226,Sastre,161,Bloprona Real x11,Flor de Blop Guinda Real ,33
227,Sastre,161,Bloprona Real x11,Flor de Blop Coco Real ,33
228,Sastre,161,Bloprona Real x11,Flor de Blop Reineta Real ,33
229,Sastre,161,Bloprona Real x11,Flor de Blop Índigo Real ,33
230,Sastre,169,Sombrero Stapokaliptik x2,Vértebra de Obsidiantre ,2
231,Sastre,169,Sombrero Stapokaliptik x2,Fémur de Sfinter Cell ,6
232,Sastre,169,Sombrero Stapokaliptik x2,Trama dimensional ,18
233,Sastre,169,Sombrero Stapokaliptik x2,Huevo de ventozador ,14
234,Sastre,169,Sombrero Stapokaliptik x2,Escoria de Obsidiantre ,8
235,Sastre,169,Sombrero Stapokaliptik x2,Concentrado de bosque primario ,4
236,Sastre,169,Sombrero Stapokaliptik x2,Residuo de solfatara ,72
237,Sastre,169,Sombrero Stapokaliptik x2,Piedra atomística ,74
238,Sastre,171,Capa del Capón Turcito Rojo x5,Tejido de mopet ,50
239,Sastre,171,Capa del Capón Turcito Rojo x5,Relleno de mopet ,180
240,Sastre,171,Capa del Capón Turcito Rojo x5,Trasero de tufo aéreo ,205
241,Sastre,171,Capa del Capón Turcito Rojo x5,Pezuña de Minotot ,5
242,Sastre,171,Capa del Capón Turcito Rojo x5,Cola de Kanígrula ,5
243,Sastre,171,Capa del Capón Turcito Rojo x5,Esfenoides del Kimbo ,10
244,Sastre,171,Capa del Capón Turcito Rojo x5,Concentrado de bosque tropical ,5
245,Sastre,171,Capa del Capón Turcito Rojo x5,Trama dimensional ,45
246,Sastre,175,Tocado de la Tengu Gélifux x5,Lana de Tengu Gélifux ,15
247,Sastre,175,Tocado de la Tengu Gélifux x5,Ojo de Anelidón ,15
248,Sastre,175,Tocado de la Tengu Gélifux x5,Etmoides de Minotot ,20
249,Sastre,175,Tocado de la Tengu Gélifux x5,Lágrima de gélifux ,45
250,Sastre,175,Tocado de la Tengu Gélifux x5,Córnea de kami gélifux ,10
251,Sastre,175,Tocado de la Tengu Gélifux x5,Oreja de soryo gélifux ,205
252,Sastre,175,Tocado de la Tengu Gélifux x5,Guijarro solar ,10
253,Sastre,175,Tocado de la Tengu Gélifux x5,Trama dimensional ,45
254,Sastre,179,Capa de Cil x26,Volva de galerina ,936
255,Sastre,179,Capa de Cil x26,Lamela de cortinaria ,260
256,Sastre,179,Capa de Cil x26,Oreja de galerina ,182
257,Sastre,179,Capa de Cil x26,La pata de Korriandr e,78
258,Sastre,179,Capa de Cil x26,Esfenoides del Kimbo ,78
259,Sastre,179,Capa de Cil x26,Ojo de Anelidón ,78
260,Sastre,179,Capa de Cil x26,Guijarro solar ,52
261,Sastre,179,Capa de Cil x26,Trama dimensional ,234
262,Sastre,193,Casco de Ogivol x1,Fragmento de Ugahlureta ,1
263,Sastre,193,Casco de Ogivol x1,Cuerno de Sombra ,3
264,Sastre,193,Casco de Ogivol x1,Piel de Bworker ,1
265,Sastre,193,Casco de Ogivol x1,Corteza de champáknido ,53
266,Sastre,193,Casco de Ogivol x1,Lengua de champidonte ,56
267,Sastre,193,Casco de Ogivol x1,Fibra de cáñamo ,10
268,Sastre,193,Casco de Ogivol x1,Concentrado de selva ,1
269,Sastre,193,Casco de Ogivol x1,Tejido misterioso ,8
270,Sastre,194,Capa de Letalina x2,Pañuelo agujereado de agua ,106
271,Sastre,194,Capa de Letalina x2,Pañuelo agujereado de tierra ,106
272,Sastre,194,Capa de Letalina x2,Tornillo de cybwork ,26
273,Sastre,194,Capa de Letalina x2,Piel de Bworker ,2
274,Sastre,194,Capa de Letalina x2,Hueso del carpo de Golosotrón Real ,2
275,Sastre,194,Capa de Letalina x2,Cuerno de XLII ,8
276,Sastre,194,Capa de Letalina x2,Tomatoline ,24
277,Sastre,194,Capa de Letalina x2,Concentrado de selva ,2
278,Sastre,196,Máscara de Klim x2,Ojo de cuereñor ,118
279,Sastre,196,Máscara de Klim x2,Tejido de cuerubugui ,18
280,Sastre,196,Máscara de Klim x2,Cerebro de cuerchinbol ,4
281,Sastre,196,Máscara de Klim x2,Bigote de Klim ,8
282,Sastre,196,Máscara de Klim x2,Vello de la axila de Mizz Frizz ,6
283,Sastre,196,Máscara de Klim x2,Cola de Golosotrón Real ,6
284,Sastre,196,Máscara de Klim x2,Turmalina ,24
285,Sastre,196,Máscara de Klim x2,Cremallera ,2
286,Sastre,198,Gorro de Yokashi x1,Baba de bobalicor ,47
287,Sastre,198,Gorro de Yokashi x1,Sangre de carghnicero ,12
288,Sastre,198,Gorro de Yokashi x1,Botella de Botsgüena ,10
289,Sastre,198,Gorro de Yokashi x1,Pelos del conde Razof ,2
290,Sastre,198,Gorro de Yokashi x1,Fragmento de Ugahlureta ,1
291,Sastre,198,Gorro de Yokashi x1,Pata de Cil ,3
292,Sastre,198,Gorro de Yokashi x1,Concentrado de selva ,1
293,Sastre,198,Gorro de Yokashi x1,Turmalina ,12
294,Sastre,199,Máscara de Golosotrón Real x1,Cola de Golosotrón Real ,2
295,Sastre,199,Máscara de Golosotrón Real x1,Piel de Bworker ,1
296,Sastre,199,Máscara de Golosotrón Real x1,Cuerno de XLII ,1
297,Sastre,199,Máscara de Golosotrón Real x1,Iris de golosote ,8
298,Sastre,199,Máscara de Golosotrón Real x1,Oreja de golosorubik ,47
299,Sastre,199,Máscara de Golosotrón Real x1,Pelos de golosote ,51
300,Sastre,199,Máscara de Golosotrón Real x1,Concentrado de selva ,1
301,Sastre,199,Máscara de Golosotrón Real x1,Turmalina ,12
302,Cazador,0,Caldo de carne x77,Carne intangible ,77
303,Cazador,10,Albóndiga de carne x244,Carne Picada ,244
304,Cazador,20,Buñuelos astrubienses x198,Carne manida ,198
305,Cazador,20,Buñuelos astrubienses x198,Trigo ,198
306,Cazador,30,Rollo de carne x182,Carne adulterada ,182
307,Cazador,30,Rollo de carne x182,Trigo ,182
308,Cazador,40,Papillote al limón x176,Carne industrial ,176
309,Cazador,40,Papillote al limón x176,Cebada ,176
310,Cazador,40,Papillote al limón x176,Limón ,176
311,Cazador,50,Ensalada sufokeña x171,Carne tierna ,171
312,Cazador,50,Ensalada sufokeña x171,Cebada ,171
313,Cazador,50,Ensalada sufokeña x171,Salace ,171
314,Cazador,60,Fritada amakneana x168,Carne corrompida ,168
315,Cazador,60,Fritada amakneana x168,Avena ,168
316,Cazador,60,Fritada amakneana x168,Aceite para freír ,168
317,Cazador,70,Parmentier de cebolla x166,Carne rancia ,166
318,Cazador,70,Parmentier de cebolla x166,Avena ,166
319,Cazador,70,Parmentier de cebolla x166,Cebolla ,166
320,Cazador,80,Paté bontariano x164,Carne sanguinolenta ,164
321,Cazador,80,Paté bontariano x164,Lúpulo ,164
322,Cazador,80,Paté bontariano x164,Grasa gelatinosa ,164
323,Cazador,90,Olla podrida sabrosa x163,Carne podrida ,163
324,Cazador,90,Olla podrida sabrosa x163,Lúpulo ,163
325,Cazador,90,Olla podrida sabrosa x163,Dosis de zumo sabroso ,163
326,Cazador,100,Revuelto campero x162,Carne exudante ,162
327,Cazador,100,Revuelto campero x162,Lino ,162
328,Cazador,100,Revuelto campero x162,Berenjena ,162
329,Cazador,110,Pemmican con alubias x162,Carne seca ,162
330,Cazador,110,Pemmican con alubias x162,Lino ,162
331,Cazador,110,Pemmican con alubias x162,Alubias ,162
332,Cazador,120,Churrasco brakmariano x161,Carne cruda ,161
333,Cazador,120,Churrasco brakmariano x161,Centeno ,161
334,Cazador,120,Churrasco brakmariano x161,Cenizas Eternas ,161
335,Cazador,130,Marinada agridulce x160,Carne marmoleada ,160
336,Cazador,130,Marinada agridulce x160,Centeno ,160
337,Cazador,130,Marinada agridulce x160,Cereza ,160
338,Cazador,140,Morcilla x160,Carne macerada ,160
339,Cazador,140,Morcilla x160,Malta ,160
340,Cazador,140,Morcilla x160,Sangre de scorbuto ,160
341,Cazador,150,Carne en adobo con especias x159,Carne de animales silvestres ,159
342,Cazador,150,Carne en adobo con especias x159,Malta ,159
343,Cazador,150,Carne en adobo con especias x159,Especias ,159
344,Cazador,160,Cocido recreativo x159,Carne fresca ,159
345,Cazador,160,Cocido recreativo x159,Cáñamo ,318
346,Cazador,160,Cocido recreativo x159,Agua potable ,159
347,Cazador,170,Lomo x159,Carne magra ,159
348,Cazador,170,Lomo x159,Cáñamo ,318
349,Cazador,170,Lomo x159,Polvos mágicos ,159
350,Cazador,180,Rollito Paul Delpaso x158,Carne viciada ,158
351,Cazador,180,Rollito Paul Delpaso x158,Maíz ,316
352,Cazador,180,Rollito Paul Delpaso x158,Polvo temporal ,158
353,Cazador,190,Butifarra de presa x158,Carne negra ,158
354,Cazador,190,Butifarra de presa x158,Maíz ,316
355,Cazador,190,Butifarra de presa x158,Resina ,158
356,Joyero,0,Anillo del audaz x1,Trigo ,1
357,Joyero,0,Anillo del audaz x1,Madera de fresno ,1
358,Joyero,0,Anillo del audaz x1,Hierro ,1
359,Joyero,0,Anillo del audaz x1,Ortiga ,1
360,Joyero,0,Anillo del audaz x1,Gobio ,1
361,Joyero,2,Anillo forcesco x44,Piel de goota ,132
362,Joyero,2,Anillo forcesco x44,Cola de miaufián ,132
363,Joyero,11,Anillo de las Rocosas x12,Sangre de jalató ,12
364,Joyero,11,Anillo de las Rocosas x12,Pluma de pío amarillo ,36
365,Joyero,18,Anillo Novato x3,Pluma de pío violeta ,9
366,Joyero,18,Anillo Novato x3,Flor del diente de león diabólico ,9
367,Joyero,20,Anillo de esponja x11,Piel de Mob Lasponja ,11
368,Joyero,20,Anillo de esponja x11,Toalla de playa ,33
369,Joyero,27,Pompamuleto x5,Piel de larva verde ,20
370,Joyero,27,Pompamuleto x5,Pluma de pío violeta ,20
371,Joyero,27,Pompamuleto x5,Pluma de pío rosa ,20
372,Joyero,31,Anillo Real de Jalató x6,Cuero de Jalató Real ,6
373,Joyero,31,Anillo Real de Jalató x6,Lana de Jalató Real ,6
374,Joyero,31,Anillo Real de Jalató x6,Lana de jefe de guerra jalató ,36
375,Joyero,36,Anillo bola x15,Cuero de jalató negro ,30
376,Joyero,36,Anillo bola x15,Antenas de vilinsekto ,75
377,Joyero,36,Anillo bola x15,Pata de Blatarata ,60
378,Joyero,45,Anillo Saymassa x1,Coral mohito ,5
379,Joyero,45,Anillo Saymassa x1,Laminilla de champo marrón ,6
380,Joyero,45,Anillo Saymassa x1,Calzoncillo ajustado de cuero de gárglifo ,1
381,Joyero,45,Anillo Saymassa x1,Patte de Kanknreblath ,2
382,Joyero,46,Anillo de Haku x4,Coral mohito ,24
383,Joyero,46,Anillo de Haku x4,Alas de escarahoja blanco ,20
384,Joyero,46,Anillo de Haku x4,Concentrado de boscaje ,8
385,Joyero,46,Anillo de Haku x4,Vísceras de Escarajefe Dorado ,4
386,Joyero,49,Amuleto de Logram x6,Pico de pica de gobobo ,42
387,Joyero,49,Amuleto de Logram x6,Alas de escarahoja rojo ,36
388,Joyero,49,Amuleto de Logram x6,Champiñón Luidchi ,6
389,Joyero,49,Amuleto de Logram x6,Coral magistral ,6
390,Joyero,54,Brazalete peloso x8,Manual del director Grunob ,8
391,Joyero,54,Brazalete peloso x8,Concentrado de oquedal ,8
392,Joyero,54,Brazalete peloso x8,Tatuaje de chico malo ,24
393,Joyero,54,Brazalete peloso x8,Gorro de gobalista ,24
394,Joyero,60,Amulette « Dents de Wabbits » x17,Diente de wabbit ,68
395,Joyero,60,Amulette « Dents de Wabbits » x17,Pata de wabbit ,119
396,Joyero,60,Amulette « Dents de Wabbits » x17,Cráneo de wabbit esqueleto ,17
397,Joyero,60,Amulette « Dents de Wabbits » x17,Paño del Wey Wabbit ,17
398,Joyero,70,Amuleto de jefe cocodrail x5,Escama de cocodrail ,15
